timestamp,service,cpu,memory,pod_running,pod_created
2026-06-12 01:24:28,paymentservice,0.0005215138285269,23453696.0,1.0,1781197683.0
2026-06-12 01:24:28,recommendationservice,0.0058183344877688,35217408.0,1.0,1781182853.0
2026-06-12 01:24:28,currencyservice,0.0054120553359686,40632320.0,1.0,1781182851.0
2026-06-12 01:24:28,redis,0.0024480682839173,14184448.0,1.0,1781182852.0
2026-06-12 01:24:28,checkoutservice,0.0005248072125198,11399168.0,1.0,1781182851.0
2026-06-12 01:24:28,loadgenerator,0.0031532694710537,56197120.0,1.0,1781182851.0
2026-06-12 01:24:28,frontend,0.0109995903570034,16318464.0,1.0,1781182852.0
2026-06-12 01:24:28,adservice,0.0012359021886362,100646912.0,1.0,1781182853.0
2026-06-12 01:24:28,emailservice,0.0027794546735082,38785024.0,1.0,1781182852.0
2026-06-12 01:24:28,shippingservice,0.0007346729905142,8728576.0,1.0,1781182852.0
2026-06-12 01:24:28,productcatalogservice,0.0048805463234756,12718080.0,1.0,1781182851.0
2026-06-12 01:24:28,cartservice,0.0040395520381112,64667648.0,1.0,1781182852.0
2026-06-12 01:24:38,paymentservice,0.0005711048747531,23502848.0,1.0,1781197683.0
2026-06-12 01:24:38,recommendationservice,0.0072267185951649,35733504.0,1.0,1781182853.0
2026-06-12 01:24:38,currencyservice,0.0051670631514406,40026112.0,1.0,1781182851.0
2026-06-12 01:24:38,redis,0.0023731189111457,14700544.0,1.0,1781182852.0
2026-06-12 01:24:38,checkoutservice,0.0006528875031084,11403264.0,1.0,1781182851.0
2026-06-12 01:24:38,loadgenerator,0.0033441208724259,56872960.0,1.0,1781182851.0
2026-06-12 01:24:38,frontend,0.0109995903570034,16318464.0,1.0,1781182852.0
2026-06-12 01:24:38,adservice,0.0012601998334721,100646912.0,1.0,1781182853.0
2026-06-12 01:24:38,emailservice,0.0027122165969623,38785024.0,1.0,1781182852.0
2026-06-12 01:24:38,shippingservice,0.0007732293461503,9248768.0,1.0,1781182852.0
2026-06-12 01:24:38,productcatalogservice,0.0055768665744899,13484032.0,1.0,1781182851.0
2026-06-12 01:24:38,cartservice,0.0040158658511816,64548864.0,1.0,1781182852.0
2026-06-12 01:24:48,paymentservice,0.0005451467268623,23502848.0,1.0,1781197683.0
2026-06-12 01:24:48,recommendationservice,0.0058450265318106,34934784.0,1.0,1781182853.0
2026-06-12 01:24:48,currencyservice,0.0052727426065443,40534016.0,1.0,1781182851.0
2026-06-12 01:24:48,redis,0.0022931943518574,14700544.0,1.0,1781182852.0
2026-06-12 01:24:48,checkoutservice,0.0007052130339691,11403264.0,1.0,1781182851.0
2026-06-12 01:24:48,loadgenerator,0.0034364129207137,56131584.0,1.0,1781182851.0
2026-06-12 01:24:48,frontend,0.0108327221967581,17285120.0,1.0,1781182852.0
2026-06-12 01:24:48,adservice,0.0013126662886552,100507648.0,1.0,1781182853.0
2026-06-12 01:24:48,emailservice,0.0027122165969623,38785024.0,1.0,1781182852.0
2026-06-12 01:24:48,shippingservice,0.0007763658142805,9248768.0,1.0,1781182852.0
2026-06-12 01:24:48,productcatalogservice,0.0057291158344862,12980224.0,1.0,1781182851.0
2026-06-12 01:24:48,cartservice,0.0040158658511816,64548864.0,1.0,1781182852.0
2026-06-12 01:24:58,paymentservice,0.0005145754119138,23203840.0,1.0,1781197683.0
2026-06-12 01:24:58,recommendationservice,0.0056312316150471,34934784.0,1.0,1781182853.0
2026-06-12 01:24:58,currencyservice,0.0054534385612842,41033728.0,1.0,1781182851.0
2026-06-12 01:24:58,redis,0.0022709517678518,14176256.0,1.0,1781182852.0
2026-06-12 01:24:58,checkoutservice,0.0007190711056309,11141120.0,1.0,1781182851.0
2026-06-12 01:24:58,loadgenerator,0.0035697855795869,56131584.0,1.0,1781182851.0
2026-06-12 01:24:58,frontend,0.0116665147322157,17285120.0,1.0,1781182852.0
2026-06-12 01:24:58,adservice,0.0010510663276876,100507648.0,1.0,1781182853.0
2026-06-12 01:24:58,emailservice,0.0025824057599206,38768640.0,1.0,1781182852.0
2026-06-12 01:24:58,shippingservice,0.0008643549328663,8994816.0,1.0,1781182852.0
2026-06-12 01:24:58,productcatalogservice,0.0048323978069145,12980224.0,1.0,1781182851.0
2026-06-12 01:24:58,cartservice,0.0041386394110356,65499136.0,1.0,1781182852.0
2026-06-12 01:25:08,paymentservice,0.0005145754119138,0.0,1.0,1781197683.0
2026-06-12 01:25:08,recommendationservice,0.0067735228319517,34951168.0,1.0,1781182853.0
2026-06-12 01:25:08,currencyservice,0.0056095975569854,40955904.0,1.0,1781182851.0
2026-06-12 01:25:08,redis,0.0022371294527942,14184448.0,1.0,1781182852.0
2026-06-12 01:25:08,checkoutservice,0.0006990582910235,11141120.0,1.0,1781182851.0
2026-06-12 01:25:08,loadgenerator,0.0035051428094552,56401920.0,1.0,1781182851.0
2026-06-12 01:25:08,frontend,0.0110280715208269,16769024.0,1.0,1781182852.0
2026-06-12 01:25:08,adservice,0.0013559101079871,100761600.0,1.0,1781182853.0
2026-06-12 01:25:08,emailservice,0.0025004344969374,39034880.0,1.0,1781182852.0
2026-06-12 01:25:08,shippingservice,0.0008250997407659,8986624.0,1.0,1781182852.0
2026-06-12 01:25:08,productcatalogservice,0.0055785321788361,13500416.0,1.0,1781182851.0
2026-06-12 01:25:08,cartservice,0.0041147679635213,64921600.0,1.0,1781182852.0
2026-06-12 01:25:18,paymentservice,0.0004238221545517,0.0,1.0,1781198699.0
2026-06-12 01:25:18,recommendationservice,0.007047335774922,36270080.0,1.0,1781182853.0
2026-06-12 01:25:18,currencyservice,0.0056095975569854,40955904.0,1.0,1781182851.0
2026-06-12 01:25:18,redis,0.0022473515797323,14184448.0,1.0,1781182852.0
2026-06-12 01:25:18,checkoutservice,0.000882050120462,11137024.0,1.0,1781182851.0
2026-06-12 01:25:18,loadgenerator,0.0034818758344459,56401920.0,1.0,1781182851.0
2026-06-12 01:25:18,frontend,0.0100836237882587,16769024.0,1.0,1781182852.0
2026-06-12 01:25:18,adservice,0.0012704589933203,100761600.0,1.0,1781182853.0
2026-06-12 01:25:18,emailservice,0.0024907141242209,39034880.0,1.0,1781182852.0
2026-06-12 01:25:18,shippingservice,0.0009193905571795,9265152.0,1.0,1781182852.0
2026-06-12 01:25:18,productcatalogservice,0.0057537257986978,13185024.0,1.0,1781182851.0
2026-06-12 01:25:18,cartservice,0.0042959892054676,65691648.0,1.0,1781182852.0
2026-06-12 01:25:28,paymentservice,0.0003261573713791,24059904.0,1.0,1781198699.0
2026-06-12 01:25:28,recommendationservice,0.007047335774922,36270080.0,1.0,1781182853.0
2026-06-12 01:25:28,currencyservice,0.0061525292581487,40763392.0,1.0,1781182851.0
2026-06-12 01:25:28,redis,0.0023701690821256,13664256.0,1.0,1781182852.0
2026-06-12 01:25:28,checkoutservice,0.0010677143965851,12173312.0,1.0,1781182851.0
2026-06-12 01:25:28,loadgenerator,0.0038946238352338,56156160.0,1.0,1781182851.0
2026-06-12 01:25:28,frontend,0.0118398682514677,16834560.0,1.0,1781182852.0
2026-06-12 01:25:28,adservice,0.0013867910027156,101289984.0,1.0,1781182853.0
2026-06-12 01:25:28,emailservice,0.0026817970873572,38785024.0,1.0,1781182852.0
2026-06-12 01:25:28,shippingservice,0.0009353154459753,9265152.0,1.0,1781182852.0
2026-06-12 01:25:28,productcatalogservice,0.0056080589866831,12689408.0,1.0,1781182851.0
2026-06-12 01:25:28,cartservice,0.0043626506024096,65691648.0,1.0,1781182852.0
2026-06-12 01:25:38,paymentservice,0.0008761210456589,25735168.0,1.0,1781198699.0
2026-06-12 01:25:38,recommendationservice,0.0071736559929493,36511744.0,1.0,1781182853.0
2026-06-12 01:25:38,currencyservice,0.0061184279273177,40599552.0,1.0,1781182851.0
2026-06-12 01:25:38,redis,0.0024768768099799,14184448.0,1.0,1781182852.0
2026-06-12 01:25:38,checkoutservice,0.0011820840842614,12173312.0,1.0,1781182851.0
2026-06-12 01:25:38,loadgenerator,0.0037355205633148,56430592.0,1.0,1781182851.0
2026-06-12 01:25:38,frontend,0.0118398682514677,16834560.0,1.0,1781182852.0
2026-06-12 01:25:38,adservice,0.0013868092361291,100917248.0,1.0,1781182853.0
2026-06-12 01:25:38,emailservice,0.0027599571275455,38789120.0,1.0,1781182852.0
2026-06-12 01:25:38,shippingservice,0.0008624562730927,9011200.0,1.0,1781182852.0
2026-06-12 01:25:38,productcatalogservice,0.0056649247538517,12689408.0,1.0,1781182851.0
2026-06-12 01:25:38,cartservice,0.0041135038932145,64909312.0,1.0,1781182852.0
2026-06-12 01:25:48,paymentservice,0.0009701172183295,25030656.0,1.0,1781198699.0
2026-06-12 01:25:48,recommendationservice,0.0071999400992639,35733504.0,1.0,1781182853.0
2026-06-12 01:25:48,currencyservice,0.0062399214145385,40980480.0,1.0,1781182851.0
2026-06-12 01:25:48,redis,0.002535995265613,13926400.0,1.0,1781182852.0
2026-06-12 01:25:48,checkoutservice,0.0010652041900713,11141120.0,1.0,1781182851.0
2026-06-12 01:25:48,loadgenerator,0.0039652603258136,56430592.0,1.0,1781182851.0
2026-06-12 01:25:48,frontend,0.0124970180050308,16601088.0,1.0,1781182852.0
2026-06-12 01:25:48,adservice,0.0013149863918003,100917248.0,1.0,1781182853.0
2026-06-12 01:25:48,emailservice,0.0029032452544182,39809024.0,1.0,1781182852.0
2026-06-12 01:25:48,shippingservice,0.001020596360865,8736768.0,1.0,1781182852.0
2026-06-12 01:25:48,productcatalogservice,0.0058222007099063,12963840.0,1.0,1781182851.0
2026-06-12 01:25:48,cartservice,0.0041191508027019,64630784.0,1.0,1781182852.0
2026-06-12 01:25:58,paymentservice,0.0010960431448827,25194496.0,1.0,1781198699.0
2026-06-12 01:25:58,recommendationservice,0.0071999400992639,35733504.0,1.0,1781182853.0
2026-06-12 01:25:58,currencyservice,0.0061525505660858,40980480.0,1.0,1781182851.0
2026-06-12 01:25:58,redis,0.0026277780377111,13926400.0,1.0,1781182852.0
2026-06-12 01:25:58,checkoutservice,0.0010570035791923,11149312.0,1.0,1781182851.0
2026-06-12 01:25:58,loadgenerator,0.0038939919725729,56139776.0,1.0,1781182851.0
2026-06-12 01:25:58,frontend,0.0115263128197411,17436672.0,1.0,1781182852.0
2026-06-12 01:25:58,adservice,0.00127863409035,100380672.0,1.0,1781182853.0
2026-06-12 01:25:58,emailservice,0.0029647148888784,39809024.0,1.0,1781182852.0
2026-06-12 01:25:58,shippingservice,0.0011169383416016,8736768.0,1.0,1781182852.0
2026-06-12 01:25:58,productcatalogservice,0.0056566910023291,13754368.0,1.0,1781182851.0
2026-06-12 01:25:58,cartservice,0.0041430910903308,64630784.0,1.0,1781182852.0
2026-06-12 01:26:08,paymentservice,0.0014065547528276,25067520.0,1.0,1781198699.0
2026-06-12 01:26:08,recommendationservice,0.0067046728576567,36761600.0,1.0,1781182853.0
2026-06-12 01:26:08,currencyservice,0.0059281581715596,41172992.0,1.0,1781182851.0
2026-06-12 01:26:08,redis,0.0026940695644769,13402112.0,1.0,1781182852.0
2026-06-12 01:26:08,checkoutservice,0.0009536240838954,11145216.0,1.0,1781182851.0
2026-06-12 01:26:08,loadgenerator,0.0035552508541627,56406016.0,1.0,1781182851.0
2026-06-12 01:26:08,frontend,0.0104493933674849,17436672.0,1.0,1781182852.0
2026-06-12 01:26:08,adservice,0.0013374035016901,100655104.0,1.0,1781182853.0
2026-06-12 01:26:08,emailservice,0.0028570318570318,38797312.0,1.0,1781182852.0


